Date,Open,High,Low,Close,Adj Close,Volume
2020-06-11,244000.000000,249000.000000,239000.000000,240500.000000,240500.000000,1423978
2020-06-12,229000.000000,242500.000000,228500.000000,242000.000000,242000.000000,1318334
2020-06-15,240000.000000,244500.000000,230500.000000,231500.000000,231500.000000,1311773
2020-06-16,239000.000000,243500.000000,236000.000000,243500.000000,243500.000000,1155474
2020-06-17,244000.000000,252000.000000,243500.000000,251000.000000,251000.000000,1357900
2020-06-18,251500.000000,254000.000000,247000.000000,247500.000000,247500.000000,744330
2020-06-19,250000.000000,250000.000000,244000.000000,249500.000000,249500.000000,919945
2020-06-22,249500.000000,271500.000000,247500.000000,270000.000000,270000.000000,1841479
2020-06-23,272000.000000,289000.000000,270500.000000,276000.000000,276000.000000,2104075
2020-06-24,273500.000000,279500.000000,270500.000000,279000.000000,279000.000000,995065
2020-06-25,273500.000000,276500.000000,269500.000000,269500.000000,269500.000000,1196267
2020-06-26,274500.000000,275000.000000,263000.000000,269000.000000,269000.000000,937593
2020-06-29,265000.000000,270500.000000,261000.000000,264000.000000,264000.000000,814814
2020-06-30,268000.000000,270500.000000,263000.000000,267000.000000,267000.000000,862860
2020-07-01,270000.000000,275000.000000,266000.000000,269000.000000,269000.000000,655711
2020-07-02,274000.000000,277000.000000,271000.000000,277000.000000,277000.000000,1015829
2020-07-03,276500.000000,280500.000000,274500.000000,277500.000000,277500.000000,971940
2020-07-06,278000.000000,287500.000000,278000.000000,281500.000000,281500.000000,1211636
2020-07-07,285000.000000,289500.000000,279000.000000,279500.000000,279500.000000,1365047
2020-07-08,280000.000000,284500.000000,274000.000000,282500.000000,282500.000000,1353345
2020-07-09,286500.000000,296500.000000,284500.000000,287500.000000,287500.000000,2006662
2020-07-10,291500.000000,308500.000000,290000.000000,299000.000000,299000.000000,2120904
2020-07-13,303500.000000,303500.000000,288000.000000,297000.000000,297000.000000,1254800
2020-07-14,290000.000000,291000.000000,285000.000000,287000.000000,287000.000000,1360849
2020-07-15,290500.000000,293000.000000,280500.000000,286500.000000,286500.000000,1276196
2020-07-16,283000.000000,285000.000000,272000.000000,273000.000000,273000.000000,1338814
2020-07-17,270000.000000,279500.000000,266000.000000,276000.000000,276000.000000,926932
2020-07-20,276500.000000,278000.000000,260500.000000,263000.000000,263000.000000,1556415
2020-07-21,273000.000000,273500.000000,269000.000000,270000.000000,270000.000000,1179638
2020-07-22,264000.000000,272500.000000,261500.000000,270000.000000,270000.000000,905784
2020-07-23,272000.000000,284000.000000,271000.000000,284000.000000,284000.000000,1396607
2020-07-24,281000.000000,290500.000000,278500.000000,281000.000000,281000.000000,1233584
2020-07-27,281000.000000,287500.000000,276500.000000,284500.000000,284500.000000,691075
2020-07-28,289500.000000,292000.000000,284000.000000,288000.000000,288000.000000,978238
2020-07-29,286000.000000,292000.000000,283000.000000,292000.000000,292000.000000,964066
2020-07-30,296000.000000,297500.000000,291000.000000,294000.000000,294000.000000,1150474
2020-07-31,299000.000000,303000.000000,296500.000000,301000.000000,301000.000000,1567503
2020-08-03,301500.000000,314500.000000,299000.000000,314500.000000,314500.000000,1341104
2020-08-04,317500.000000,322000.000000,307500.000000,311000.000000,311000.000000,1330818
2020-08-05,312000.000000,314500.000000,306500.000000,313500.000000,313500.000000,809939
2020-08-06,313000.000000,322000.000000,310500.000000,322000.000000,322000.000000,1032045
2020-08-07,324500.000000,325500.000000,312000.000000,314000.000000,314000.000000,1063254
2020-08-10,308500.000000,314500.000000,303500.000000,313500.000000,313500.000000,968592
2020-08-11,311000.000000,314500.000000,307500.000000,311500.000000,311500.000000,665863
2020-08-12,308000.000000,311000.000000,303500.000000,305000.000000,305000.000000,856711
2020-08-13,310000.000000,311500.000000,304000.000000,307000.000000,307000.000000,1406370
2020-08-14,305000.000000,308500.000000,303000.000000,305000.000000,305000.000000,608156
2020-08-18,307500.000000,317500.000000,305000.000000,307500.000000,307500.000000,1494966
2020-08-19,311500.000000,316000.000000,305500.000000,315000.000000,315000.000000,941038
2020-08-20,315000.000000,319000.000000,302500.000000,305500.000000,305500.000000,1186809
2020-08-21,311500.000000,314500.000000,308000.000000,312500.000000,312500.000000,781961
2020-08-24,313000.000000,320000.000000,310000.000000,320000.000000,320000.000000,783392
2020-08-25,323000.000000,325000.000000,317000.000000,325000.000000,325000.000000,897649
2020-08-26,321500.000000,338500.000000,321000.000000,334000.000000,334000.000000,1155853
2020-08-27,337000.000000,347000.000000,336500.000000,337000.000000,337000.000000,1232239
2020-08-28,337000.000000,338500.000000,329500.000000,333000.000000,333000.000000,969408
2020-08-31,336500.000000,340000.000000,322000.000000,322500.000000,322500.000000,1528978
2020-09-01,322500.000000,329500.000000,322000.000000,324500.000000,324500.000000,691864
2020-09-02,332500.000000,335500.000000,327000.000000,332500.000000,332500.000000,808064
2020-09-03,333500.000000,339500.000000,329500.000000,339000.000000,339000.000000,776547
2020-09-04,322500.000000,335000.000000,322000.000000,328500.000000,328500.000000,1174337
2020-09-07,325500.000000,325500.000000,313500.000000,314500.000000,314500.000000,1308247
2020-09-08,316000.000000,318000.000000,305500.000000,311000.000000,311000.000000,989171
2020-09-09,303000.000000,307000.000000,300000.000000,304500.000000,304500.000000,925825
2020-09-10,309000.000000,311000.000000,305000.000000,307500.000000,307500.000000,834946
2020-09-11,302500.000000,307000.000000,301000.000000,306000.000000,306000.000000,517023
2020-09-14,307500.000000,308000.000000,300000.000000,303000.000000,303000.000000,608816
2020-09-15,304000.000000,314000.000000,303000.000000,312000.000000,312000.000000,797985
2020-09-16,311500.000000,312000.000000,306000.000000,307000.000000,307000.000000,696219
2020-09-17,302500.000000,304000.000000,299000.000000,300500.000000,300500.000000,823516
2020-09-18,299500.000000,302000.000000,296000.000000,298000.000000,298000.000000,750488
2020-09-21,297000.000000,301500.000000,292000.000000,292000.000000,292000.000000,656024
2020-09-22,290500.000000,295000.000000,282000.000000,284500.000000,284500.000000,864846
2020-09-23,290000.000000,298000.000000,285500.000000,296500.000000,296500.000000,984136
2020-09-24,291500.000000,295500.000000,287000.000000,294000.000000,294000.000000,848971
2020-09-25,296000.000000,297500.000000,289500.000000,295000.000000,295000.000000,648182
2020-09-28,297000.000000,302000.000000,296000.000000,298500.000000,298500.000000,724465
2020-09-29,303000.000000,303000.000000,294000.000000,296500.000000,296500.000000,765489
2020-10-05,297500.000000,299000.000000,289500.000000,298500.000000,298500.000000,906516
2020-10-06,299500.000000,307500.000000,296500.000000,305000.000000,305000.000000,868540
2020-10-07,302000.000000,305000.000000,299500.000000,305000.000000,305000.000000,534644
2020-10-08,307500.000000,307500.000000,300000.000000,301000.000000,301000.000000,756735
2020-10-12,303000.000000,303000.000000,291500.000000,292000.000000,292000.000000,914860
2020-10-13,292000.000000,298000.000000,292000.000000,295000.000000,295000.000000,636487
2020-10-14,295000.000000,301000.000000,293000.000000,298500.000000,298500.000000,759464
2020-10-15,300500.000000,300500.000000,291000.000000,292500.000000,292500.000000,624097
2020-10-16,292500.000000,297500.000000,291500.000000,293500.000000,293500.000000,446832
2020-10-19,293500.000000,296500.000000,286000.000000,286000.000000,286000.000000,434420
2020-10-20,286500.000000,291000.000000,281000.000000,290000.000000,290000.000000,535870
2020-10-21,292500.000000,301000.000000,291000.000000,297500.000000,297500.000000,640501
2020-10-22,295000.000000,296000.000000,292000.000000,293000.000000,293000.000000,416425
2020-10-23,295500.000000,295500.000000,286000.000000,286500.000000,286500.000000,451654
2020-10-26,286500.000000,289000.000000,281500.000000,281500.000000,281500.000000,349163
2020-10-27,281500.000000,288500.000000,280500.000000,283500.000000,283500.000000,2071432
2020-10-28,282000.000000,298500.000000,281500.000000,298500.000000,298500.000000,698195
2020-10-29,297000.000000,301000.000000,294500.000000,298500.000000,298500.000000,785050
2020-10-30,299000.000000,300000.000000,290000.000000,290000.000000,290000.000000,939833
2020-11-02,292000.000000,293000.000000,285500.000000,285500.000000,285500.000000,503831
2020-11-03,284000.000000,287000.000000,280000.000000,283000.000000,283000.000000,1066923
2020-11-04,282500.000000,300500.000000,282000.000000,298500.000000,298500.000000,1623712
2020-11-05,295000.000000,302000.000000,291500.000000,299000.000000,299000.000000,1082388
2020-11-06,303000.000000,307000.000000,299000.000000,301000.000000,301000.000000,968971
2020-11-09,304000.000000,304500.000000,298000.000000,298000.000000,298000.000000,678531
2020-11-10,287000.000000,288000.000000,282000.000000,283000.000000,283000.000000,1728995
2020-11-11,281000.000000,283000.000000,277500.000000,280000.000000,280000.000000,1183499
2020-11-12,283000.000000,285500.000000,279000.000000,279000.000000,279000.000000,1016673
2020-11-13,277500.000000,282000.000000,277500.000000,281000.000000,281000.000000,710865
2020-11-16,282500.000000,283000.000000,277500.000000,278000.000000,278000.000000,887878
2020-11-17,277500.000000,278000.000000,273500.000000,275000.000000,275000.000000,816320
2020-11-18,274500.000000,283500.000000,274000.000000,281000.000000,281000.000000,912899
2020-11-19,282500.000000,284000.000000,279500.000000,280500.000000,280500.000000,520114
2020-11-20,281500.000000,283500.000000,278500.000000,281000.000000,281000.000000,439077
